147.51816	264548	588019	3.4	
147.85328	269101	645636	3.5	
148.11613	260709	652448	3.3	
148.40201	268947	757050	3.5	
148.92442	249593	699808	3.1	
149.47510	248656	734060	3.1	
149.60675	326328	592068	4.6	
149.91589	268969	802866	3.5	
150.09499	280641	616182	3.7	
150.24991	259544	738405	3.3	
150.40322	253978	782628	3.2	
150.41987	292574	412210	4.0	
150.61696	266080	773336	3.4	
150.76229	279015	629799	3.7	
150.83231	263511	760736	3.4	
150.93825	249480	859791	3.1	
150.99396	253716	633848	3.2	
151.14058	250580	708500	3.1	
151.18847	255494	658025	3.2	
151.26323	277389	722093	3.6	
151.44988	257699	921367	3.2	
151.51338	268626	766277	3.5	
151.59382	279779	680556	3.7	
151.61526	256123	744014	3.2	
151.75655	254561	738320	3.2	
151.89284	256410	817657	3.2	
151.96655	293385	567440	4.0	
152.11119	280840	674623	3.7	
152.24863	249512	388583	3.1	
152.30049	258701	710304	3.3	
152.35235	249859	629160	3.1	
152.46946	249783	863149	3.1	
152.57179	323902	620003	4.6	
152.80122	261761	790416	3.3	
152.93065	268585	753024	3.5	
152.96492	283723	457779	3.8	
153.05862	289279	619411	3.9	
153.10758	265234	618223	3.4	
153.14224	255792	806027	3.2	
153.16416	252357	708858	3.1	
153.18580	262294	559678	3.3	
153.22360	303232	661820	4.2	
153.28560	286012	579662	3.8	
153.34853	250933	861556	3.1	
153.42258	259368	601096	3.3	
153.53408	284420	637257	3.8	
153.63507	281152	870404	3.7	
153.65178	265709	454321	3.4	
153.72527	258745	757471	3.3	
153.84515	256224	615645	3.2	
153.88433	267810	784165	3.5	
154.01336	270596	845981	3.5	
154.02464	263386	684345	3.4	
154.04602	321400	761857	4.5	
154.10178	278906	483237	3.7	
154.18205	269467	634169	3.5	
154.18265	302397	365688	4.2	
154.20325	284726	646334	3.8	
154.21177	249990	626442	3.1	
154.27854	251841	854637	3.1	
154.28828	268503	605201	3.5	
154.32406	254777	819950	3.2	
154.35980	253129	738186	3.2	
154.37322	249864	552109	3.1	
154.38355	267859	707890	3.5	
154.40889	296569	592560	4.0	
154.45191	305946	521846	4.2	
154.47251	252684	618363	3.1	
154.49436	275761	647238	3.6	
154.54620	274388	654725	3.6	
154.73051	282772	749640	3.8	
154.73330	296147	633841	4.0	
154.73748	256298	719844	3.2	
154.74424	251574	546618	3.1	
154.82527	268317	519322	3.5	
154.83186	253041	796507	3.2	
154.84760	255125	505465	3.2	
154.86531	257594	434323	3.2	
154.88973	273406	471602	3.6	
154.90705	263291	696854	3.4	
154.92769	248912	548972	3.1	
154.93250	261039	857947	3.3	
154.96178	275387	551228	3.6	
155.00008	296115	522431	4.0	
155.04297	249828	747267	3.1	
155.08787	248590	868673	3.1	
155.13238	322400	617947	4.6	
155.13860	267958	620310	3.5	
155.14180	291054	710070	3.9	
155.15660	269474	657679	3.5	
155.18212	259059	642044	3.3	
155.18592	261362	667785	3.3	
155.18826	250859	761038	3.1	
155.21124	275854	745642	3.6	
155.37343	264817	696217	3.4	
155.37529	251675	658491	3.1	
155.39955	249349	610681	3.1	
155.42824	254361	614117	3.2	
155.46058	260860	424402	3.3	
155.46677	333474	592887	4.8	
155.61528	296312	664032	4.0	
155.62097	271697	678266	3.5	
155.62760	277572	647112	3.6	
155.74020	281426	540845	3.7	
155.74892	254110	629670	3.2	
155.76380	260488	613790	3.3	
155.76701	256782	677448	3.2	
155.76961	254847	693648	3.2	
155.77785	306456	521594	4.2	
155.81377	282432	826543	3.7	
155.83159	344150	509842	5.0	
155.83580	253543	699114	3.2	
155.84802	250582	953613	3.1	
155.85188	259820	657601	3.3	
155.89036	253034	725800	3.2	
155.89169	291569	645137	3.9	
155.91801	250086	736136	3.1	
155.92950	282549	624467	3.8	
155.94548	253027	476862	3.2	
155.95339	262969	619827	3.4	
155.95671	252696	562033	3.1	
155.95801	282835	733483	3.8	
156.01720	252571	673667	3.1	
156.02435	251111	704144	3.1	
156.04326	1420075	627082	26.9	
156.09675	270498	772775	3.5	
156.10626	248337	758694	3.1	
156.17133	282267	533695	3.7	
156.19148	247955	753094	3.0	
156.19909	289110	522282	3.9	
156.20257	260058	617034	3.3	
156.23284	290778	609212	3.9	
156.26216	253835	641036	3.2	
156.28629	252416	811319	3.1	
156.35409	293829	728118	4.0	
156.37659	265406	649697	3.4	
156.47755	293160	699198	4.0	
156.49744	292136	391858	3.9	
156.51196	337734	718606	4.9	
156.55625	265906	775923	3.4	
156.57276	306612	667843	4.2	
156.58349	256818	456837	3.2	
156.58362	264977	634627	3.4	
156.61540	252601	866662	3.1	
156.62773	253881	551740	3.2	
156.63195	269360	681703	3.5	
156.67880	249033	724067	3.1	
156.70920	258351	546078	3.3	
156.73179	249013	552631	3.1	
156.75764	264727	554532	3.4	
156.76326	317525	675571	4.5	
156.80282	265558	723177	3.4	
156.81293	277492	777334	3.6	
156.82139	254643	640787	3.2	
156.86251	262247	670284	3.3	
156.86900	265121	678330	3.4	
156.86963	273833	614200	3.6	
156.89640	317283	684610	4.5	
156.97839	266001	687727	3.4	
156.98173	285659	680382	3.8	
156.99911	299559	586456	4.1	
157.02090	260186	748186	3.3	
157.03706	260288	451002	3.3	
157.03880	251930	541349	3.1	
157.04659	274434	833096	3.6	
